274,144
271,142
267,144
246,144
241,146
234,157
234,172
236,177
240,177
241,171
245,166
260,163
268,159
274,151
144,144
145,153
150,159
158,163
173,166
177,170
178,177
182,178
185,160
179,147
172,144
152,144
147,142
18,180
15,256
106,197
16,293
79,344
93,255
122,386
129,184
167,401
154,303
211,407
263,300
251,401
290,185
294,386
320,250
339,344
402,294
312,197
405,255
367,135
269,113
333,163
245,258
243,197
174,258
86,163
149,113
289,84
278,90
277,99
282,108
295,119
296,105
301,98
320,98
320,95
306,86
101,92
98,95
99,98
115,97
121,102
122,117
124,119
131,114
141,100
140,90
129,84
116,85
53,128
102,129
94,89
134,79
114,65
208,121
304,65
285,80
323,87
317,129
365,130
341,70
295,56
341,53
284,47
240,76
293,36
219,37
200,11
200,38
125,37
179,77
135,47
76,54
123,56
79,68
115,62
304,62
228,297
190,297
272,145
234,215
342,118
147,145
218,40
245,112
174,111
223,286
184,215
76,118
403,253
398,187
198,13
21,187
131,331
15,253
124,117
287,331
294,117
209,119
130,152
55,283
149,219
245,278
173,278
146,185
294,182
363,282
124,183
288,152
202,42
365,147
195,285
272,185
221,386
53,147
133,221
269,219
183,281
27,164
100,96
391,163
249,399
285,221
318,96
241,292
169,399
291,38
127,38
55,129
178,293
188,405
341,342
363,129
230,404
400,292
260,28
158,28
78,343
18,292
281,160
208,303
137,160
207,217
242,200
148,114
320,127
271,115
97,126
130,294
186,326
177,200
130,57
238,175
288,57
288,294
180,175
288,77
132,78
342,56
76,56
101,289
317,289
274,259
144,259
192,93
226,93
295,385
123,386
221,67
139,93
197,67
281,90
209,237
184,83
120,98
